日付,始値,高値,安値,終値,出来高,調整後終値
2023/9/29,2250,2268,2221,2233.5,360200,2233.5
2023/9/28,2250,2250,2203,2224.5,393800,2224.5
2023/9/27,2257,2278,2231.5,2262,472100,2262
2023/9/26,2277,2286.5,2262,2270,362700,2270
2023/9/25,2271.5,2290,2268.5,2277.5,252800,2277.5
2023/9/22,2252,2290.5,2250.5,2279.5,561500,2279.5
2023/9/21,2297,2300,2257.5,2261.5,550000,2261.5
2023/9/20,2320,2329.5,2297.5,2299.5,502200,2299.5
2023/9/19,2350.5,2358,2308,2328.5,612300,2328.5
2023/9/15,2363.5,2370,2357.5,2363,665000,2363
2023/9/14,2355.5,2366.5,2347.5,2363.5,303200,2363.5
2023/9/13,2354,2370.5,2345,2352,367900,2352
2023/9/12,2360,2371.5,2337,2351,326000,2351
2023/9/11,2336.5,2353,2327.5,2345.5,365800,2345.5
2023/9/8,2330,2335,2316.5,2321.5,380900,2321.5
2023/9/7,2366,2368,2341.5,2341.5,367800,2341.5
2023/9/6,2352,2358,2333.5,2346.5,336400,2346.5
2023/9/5,2369,2386.5,2357,2374,375500,2374
2023/9/4,2361.5,2377,2346,2371,359800,2371
2023/9/1,2335,2367,2328.5,2361.5,352800,2361.5
2023/8/31,2325,2343.5,2321.5,2336,328900,2336
2023/8/30,2312,2330.5,2302,2323,288200,2323
2023/8/29,2306,2330.5,2302,2322,383600,2322
2023/8/28,2304.5,2314,2272,2296,355300,2296
2023/8/25,2300,2305,2282.5,2299.5,392800,2299.5
2023/8/24,2306,2324.5,2288,2312.5,212800,2312.5
2023/8/23,2280,2304.5,2268.5,2303,389400,2303
2023/8/22,2289,2304.5,2272,2300,314300,2300
2023/8/21,2267.5,2290.5,2260.5,2284,472500,2284
2023/8/18,2277.5,2288,2250,2267.5,391300,2267.5
2023/8/17,2358.5,2370,2290,2312,458300,2312
2023/8/16,2352,2377,2339.5,2353.5,298300,2353.5
2023/8/15,2344,2374.5,2309.5,2370.5,645900,2370.5
2023/8/14,2370,2400,2352.5,2362,918400,2362
2023/8/10,2273,2326.5,2246,2326.5,687300,2326.5
2023/8/9,2280,2307.5,2271,2286,714300,2286
2023/8/8,2227,2272,2221,2265,651700,2265
2023/8/7,2200,2228.5,2190,2225,326800,2225
2023/8/4,2200,2204.5,2194.5,2201,335100,2201
2023/8/3,2217,2217,2197,2202,415700,2202
2023/8/2,2239.5,2243,2221,2224.5,289300,2224.5
2023/8/1,2238,2245,2227,2243.5,453100,2243.5
2023/7/31,2245,2257.5,2238,2246.5,467900,2246.5
2023/7/28,2187,2223,2161,2215,692300,2215
2023/7/27,2185,2205,2175.5,2195,279700,2195
2023/7/26,2180,2181,2150,2179.5,209200,2179.5
2023/7/25,2181,2186.5,2169,2181.5,264000,2181.5
2023/7/24,2178.5,2185,2162.5,2172,378000,2172
2023/7/21,2178,2180.5,2151,2165,252000,2165
2023/7/20,2197,2197,2167,2169,315800,2169
2023/7/19,2182,2198,2175.5,2190.5,326700,2190.5
2023/7/18,2173,2194,2146,2169.5,592100,2169.5
2023/7/14,2136,2145.5,2102,2123,319000,2123
2023/7/13,2158,2158,2120.5,2136,333400,2136
2023/7/12,2180,2180,2160,2163.5,258000,2163.5
2023/7/11,2177,2188.5,2168,2173,290600,2173
2023/7/10,2148.5,2184.5,2142,2175,443400,2175
2023/7/7,2133,2155.5,2117,2143,315400,2143
2023/7/6,2135.5,2157.5,2120,2146,330500,2146
2023/7/5,2133,2147.5,2116,2146.5,380100,2146.5
2023/7/4,2086,2140,2080,2134,557200,2134
2023/7/3,2134,2157,2131,2136,619900,2136
2023/6/30,2120,2136,2103.5,2133.5,716500,2133.5
2023/6/29,2163,2188.5,2149,2159.5,513200,2159.5
2023/6/28,2143.5,2166,2137.5,2166,597200,2166
2023/6/27,2140,2148,2122,2147,488400,2147
2023/6/26,2174,2175,2122.5,2144,421600,2144
2023/6/23,2214,2233.5,2171,2185,414400,2185
2023/6/22,2236,2244,2221.5,2226.5,230400,2226.5
2023/6/21,2198,2246,2191,2232.5,312000,2232.5
2023/6/20,2215.5,2229,2199,2217,313600,2217
2023/6/19,2219,2232.5,2201,2228.5,451200,2228.5
2023/6/16,2229,2232,2208.5,2230,651600,2230
2023/6/15,2160,2194,2156,2185,370200,2185
2023/6/14,2148,2174,2140,2162.5,391800,2162.5
2023/6/13,2143.5,2157,2136,2147,358000,2147
2023/6/12,2155,2160,2140.5,2146.5,228700,2146.5
2023/6/9,2144,2157.5,2134,2151.5,407900,2151.5
2023/6/8,2126,2143,2118,2126,340000,2126
2023/6/7,2150,2150,2110.5,2125,440300,2125
2023/6/6,2130,2130,2107,2126,330300,2126
2023/6/5,2147.5,2147.5,2125,2135.5,346100,2135.5
2023/6/2,2081,2113,2075,2113,407700,2113
2023/6/1,2038,2083,2028,2062,610300,2062
2023/5/31,2047,2064,2035,2035,1352000,2035
2023/5/30,2101,2105,2080,2092,598000,2092
2023/5/29,2141,2150,2117,2122,409900,2122
2023/5/26,2124,2144,2110,2134,457900,2134
2023/5/25,2172,2182,2143,2144,333600,2144
2023/5/24,2194,2202,2160,2168,401500,2168
2023/5/23,2282,2284,2198,2208,534300,2208
2023/5/22,2278,2288,2266,2287,512400,2287
2023/5/19,2308,2308,2279,2289,399600,2289
2023/5/18,2321,2332,2308,2312,368700,2312
2023/5/17,2293,2344,2277,2306,722300,2306
2023/5/16,2251,2287,2212,2285,731900,2285
2023/5/15,2285,2285,2258,2274,464800,2274
2023/5/12,2254,2269,2242,2264,372700,2264
2023/5/11,2243,2262,2234,2252,307100,2252
2023/5/10,2280,2283,2236,2252,405000,2252
2023/5/9,2251,2263,2239,2261,387300,2261
2023/5/8,2248,2266,2238,2253,378200,2253
2023/5/2,2257,2257,2227,2245,306300,2245
2023/5/1,2263,2271,2242,2257,303400,2257
2023/4/28,2230,2241,2219,2239,240400,2239
2023/4/27,2219,2229,2212,2222,277700,2222
2023/4/26,2214,2246,2201,2223,280300,2223
2023/4/25,2235,2244,2221,2229,259600,2229
2023/4/24,2199,2227,2196,2226,267900,2226
2023/4/21,2211,2214,2191,2196,351700,2196
2023/4/20,2207,2227,2203,2214,370400,2214
2023/4/19,2210,2218,2192,2201,299400,2201
2023/4/18,2193,2200,2175,2200,344300,2200
2023/4/17,2186,2194,2170,2174,241700,2174
2023/4/14,2181,2186,2169,2173,264900,2173
2023/4/13,2147,2181,2139,2180,359100,2180
2023/4/12,2166,2174,2152,2159,252300,2159
2023/4/11,2152,2171,2146,2154,219700,2154
2023/4/10,2145,2166,2139,2156,340000,2156
2023/4/7,2113,2143,2111,2124,232000,2124
2023/4/6,2124,2137,2109,2118,307400,2118
2023/4/5,2130,2150,2118,2129,346700,2129
2023/4/4,2158,2169,2133,2148,473900,2148
2023/4/3,2125,2148,2124,2148,488200,2148
2023/3/31,2114,2118,2093,2109,511000,2109
2023/3/30,2110,2122,2097,2111,868900,2111
2023/3/29,2102,2141,2099,2137,1206500,2137
2023/3/28,2105,2124,2092,2103,729500,2103
2023/3/27,2105,2122,2103,2110,721300,2110
2023/3/24,2086,2122,2085,2104,817300,2104
2023/3/23,2092,2107,2073,2105,484000,2105
2023/3/22,2085,2108,2079,2100,613900,2100
2023/3/20,2092,2092,2036,2036,658000,2036
2023/3/17,2062,2111,2055,2109,749400,2109
2023/3/16,2050,2065,2038,2048,552000,2048
2023/3/15,2112,2114,2083,2090,421900,2090
2023/3/14,2107,2107,2077,2077,474300,2077
2023/3/13,2140,2154,2115,2136,343100,2136
2023/3/10,2177,2187,2146,2156,755800,2156
2023/3/9,2180,2220,2180,2211,632500,2211
2023/3/8,2136,2175,2133,2171,402500,2171
2023/3/7,2126,2144,2124,2133,384400,2133
2023/3/6,2139,2149,2113,2128,442800,2128
2023/3/3,2140,2146,2129,2134,545700,2134
2023/3/2,2125,2128,2111,2124,264600,2124
2023/3/1,2128,2129,2104,2119,293600,2119
2023/2/28,2127,2147,2123,2129,421100,2129
2023/2/27,2090,2114,2088,2113,339200,2113
2023/2/24,2100,2110,2073,2109,459300,2109
2023/2/22,2110,2114,2084,2094,579800,2094
2023/2/21,2144,2148,2099,2105,750200,2105
2023/2/20,2139,2157,2128,2144,449100,2144
2023/2/17,2129,2145,2119,2125,578500,2125
2023/2/16,2134,2157,2130,2139,499000,2139
2023/2/15,2112,2128,2095,2128,572100,2128
2023/2/14,2107,2124,2083,2096,636900,2096
2023/2/13,2122,2126,2075,2100,1006400,2100
2023/2/10,2209,2292,2091,2118,2860200,2118
2023/2/9,2339,2364,2334,2359,335200,2359
2023/2/8,2314,2352,2310,2349,239700,2349
2023/2/7,2345,2351,2317,2318,175600,2318
2023/2/6,2327,2342,2320,2324,251400,2324
2023/2/3,2310,2323,2298,2304,212500,2304
2023/2/2,2353,2365,2316,2317,254900,2317
2023/2/1,2373,2387,2362,2366,252700,2366
2023/1/31,2346,2374,2327,2369,370400,2369
2023/1/30,2369,2375,2326,2350,315100,2350
2023/1/27,2357,2377,2338,2374,350600,2374
2023/1/26,2356,2380,2346,2356,288400,2356
2023/1/25,2339,2364,2318,2356,288200,2356
2023/1/24,2310,2327,2289,2316,246900,2316
2023/1/23,2320,2320,2283,2303,175900,2303
2023/1/20,2278,2324,2274,2309,290800,2309
2023/1/19,2259,2276,2245,2275,218900,2275
2023/1/18,2243,2290,2234,2268,297000,2268
2023/1/17,2245,2248,2214,2223,216400,2223
2023/1/16,2256,2260,2224,2235,196000,2235
2023/1/13,2253,2275,2243,2264,262300,2264
2023/1/12,2278,2278,2231,2256,340700,2256
2023/1/11,2296,2310,2285,2292,214100,2292
2023/1/10,2292,2318,2282,2289,304500,2289
2023/1/6,2275,2302,2255,2271,278600,2271
2023/1/5,2276,2278,2236,2265,325800,2265
2023/1/4,2324,2340,2295,2299,210300,2299
2022/12/30,2341,2377,2341,2349,121900,2349
2022/12/29,2330,2351,2320,2337,155100,2337
2022/12/28,2363,2368,2337,2347,147200,2347
2022/12/27,2362,2397,2354,2363,200000,2363
2022/12/26,2312,2342,2300,2328,222200,2328
2022/12/23,2297,2307,2286,2294,168800,2294
2022/12/22,2280,2332,2266,2320,299600,2320
2022/12/21,2296,2305,2254,2280,446800,2280
2022/12/20,2370,2382,2290,2313,322200,2313
2022/12/19,2372,2382,2350,2362,187200,2362
2022/12/16,2389,2401,2376,2392,239100,2392
2022/12/15,2390,2406,2366,2382,223000,2382
2022/12/14,2400,2406,2370,2395,185800,2395
2022/12/13,2400,2419,2388,2410,175400,2410
2022/12/12,2420,2425,2388,2407,235100,2407
2022/12/9,2400,2439,2397,2416,299800,2416
2022/12/8,2425,2436,2404,2429,475000,2429
2022/12/7,2340,2401,2340,2388,409600,2388
2022/12/6,2320,2352,2306,2343,338500,2343
2022/12/5,2316,2332,2291,2314,293600,2314
2022/12/2,2357,2357,2316,2316,358600,2316
2022/12/1,2430,2430,2374,2375,292200,2375
2022/11/30,2425,2460,2425,2435,503600,2435
2022/11/29,2378,2425,2360,2422,412800,2422
2022/11/28,2410,2426,2365,2378,346700,2378
2022/11/25,2444,2445,2391,2409,472500,2409
2022/11/24,2378,2409,2370,2386,463500,2386
2022/11/22,2355,2383,2352,2367,477300,2367
2022/11/21,2332,2354,2310,2335,378000,2335
2022/11/18,2312,2332,2297,2317,556300,2317
